source	destination	value	model	nSim	nSeq	protocol
Region2	Region3	1.0	simulation	33	150	biased_10
Region3	Region3	8.0	simulation	33	150	biased_10
Region1	Region1	92.0	simulation	33	150	maxPerRegion_50
Region2	Region1	7.0	simulation	33	150	maxPerRegion_50
Region3	Region1	3.0	simulation	33	150	maxPerRegion_50
Region1	Region2	7.0	simulation	33	150	maxPerRegion_50
Region2	Region2	97.0	simulation	33	150	maxPerRegion_50
Region3	Region2	3.0	simulation	33	150	maxPerRegion_50
Region1	Region3	3.0	simulation	33	150	maxPerRegion_50
Region2	Region3	8.0	simulation	33	150	maxPerRegion_50
Region3	Region3	72.0	simulation	33	150	maxPerRegion_50
Region1	Region1	18.0	simulation	33	150	biased_20
Region2	Region1	5.0	simulation	33	150	biased_20
Region3	Region1	1.0	simulation	33	150	biased_20
Region1	Region2	18.0	simulation	33	150	biased_20
Region2	Region2	240.0	simulation	33	150	biased_20
Region3	Region2	3.0	simulation	33	150	biased_20
Region1	Region3	1.0	simulation	33	150	biased_20
Region2	Region3	1.0	simulation	33	150	biased_20
Region3	Region3	2.0	simulation	33	150	biased_20
Region1	Region1	6.0	simulation	33	150	biased_50
Region2	Region1	1.0	simulation	33	150	biased_50
Region3	Region1	1.0	simulation	33	150	biased_50
Region1	Region2	10.0	simulation	33	150	biased_50
Region2	Region2	264.0	simulation	33	150	biased_50
Region3	Region2	3.0	simulation	33	150	biased_50
Region1	Region3	1.0	simulation	33	150	biased_50
Region2	Region3	1.0	simulation	33	150	biased_50
Region3	Region3	2.0	simulation	33	150	biased_50
Region1	Region1	99.0	simulation	33	150	maxPerRegionYear_2.5
Region2	Region1	8.0	simulation	33	150	maxPerRegionYear_2.5
Region3	Region1	2.0	simulation	33	150	maxPerRegionYear_2.5
Region1	Region2	20.0	simulation	33	150	maxPerRegionYear_2.5
Region2	Region2	78.0	simulation	33	150	maxPerRegionYear_2.5
Region3	Region2	5.0	simulation	33	150	maxPerRegionYear_2.5
Region1	Region3	5.0	simulation	33	150	maxPerRegionYear_2.5
Region2	Region3	6.0	simulation	33	150	maxPerRegionYear_2.5
Region3	Region3	66.0	simulation	33	150	maxPerRegionYear_2.5
Region1	Region1	95.0	simulation	33	150	maxPerRegion_2.5
