regions	value	model	nSim	nSeq	protocol
Region1	2014.060274	simulation	36	500	maxPerRegion_5
Region2	2017.0356169999998	simulation	36	500	maxPerRegion_5
Region3	1990.128767	simulation	36	500	maxPerRegion_5
Region1	2008.0732839999998	simulation	36	500	biased_5
Region2	2015.760955	simulation	36	500	biased_5
Region3	1990.128767	simulation	36	500	biased_5
Region1	2011.5210869999999	simulation	36	500	uniform
Region2	2017.005479	simulation	36	500	uniform
Region3	1990.128767	simulation	36	500	uniform
Region1	2015.3424659999998	simulation	36	500	maxPerRegionYear_5
Region2	2018.232877	simulation	36	500	maxPerRegionYear_5
Region3	1990.128767	simulation	36	500	maxPerRegionYear_5
Region1	2010.832877	simulation	36	500	maxPerRegion_20
Region2	2018.084932	simulation	36	500	maxPerRegion_20
Region3	1990.128767	simulation	36	500	maxPerRegion_20
Region1	2012.512329	simulation	36	500	biased_10
Region2	2014.797261	simulation	36	500	biased_10
Region3	1990.128767	simulation	36	500	biased_10
Region1	2016.819178	simulation	36	500	maxPerRegionYear_20
Region2	2018.2054799999999	simulation	36	500	maxPerRegionYear_20
Region3	1990.128767	simulation	36	500	maxPerRegionYear_20
Region1	2013.915592	simulation	36	500	uniformS_20
Region2	2015.39452	simulation	36	500	uniformS_20
Region3	1990.128767	simulation	36	500	uniformS_20
Region1	2016.6301369999999	simulation	36	500	uniformS_10
Region2	2017.8904109999999	simulation	36	500	uniformS_10
Region3	1990.128767	simulation	36	500	uniformS_10
Region1	2012.6164379999998	simulation	36	500	maxPerRegion_2.5
Region2	2016.167123	simulation	36	500	maxPerRegion_2.5
Region3	1990.128767	simulation	36	500	maxPerRegion_2.5
Region1	2012.85076	simulation	36	500	uniformS_5
Region2	2014.386301	simulation	36	500	uniformS_5
Region3	1990.128767	simulation	36	500	uniformS_5
Region1	1989.90137	simulation	36	500	maxPerRegionYear_2.5
Region2	2017.950685	simulation	36	500	maxPerRegionYear_2.5
Region3	2018.4082190000001	simulation	36	500	maxPerRegionYear_2.5
Region1	2015.163089	simulation	36	500	biased_2.5
Region2	2016.3917809999998	simulation	36	500	biased_2.5
Region3	1990.128767	simulation	36	500	biased_2.5
Region1	2013.7753429999998	simulation	36	500	maxPerRegion_10
Region2	2016.7753429999998	simulation	36	500	maxPerRegion_10
Region3	1990.128767	simulation	36	500	maxPerRegion_10
Region1	2015.60274	simulation	36	500	uniformS_50
Region2	2017.693151	simulation	36	500	uniformS_50
Region3	1990.128767	simulation	36	500	uniformS_50
Region1	2007.69589	simulation	36	500	maxPerRegion_50
Region2	2016.59726	simulation	36	500	maxPerRegion_50
Region3	1990.128767	simulation	36	500	maxPerRegion_50
Region1	1990.435616	simulation	30	500	biased_20
Region2	2015.611647	simulation	30	500	biased_20
Region3	1998.219769	simulation	30	500	biased_20
Region1	1989.89589	simulation	30	500	uniform
Region2	2012.209784	simulation	30	500	uniform
Region3	2002.338551	simulation	30	500	uniform
