source	destination	value	model	nSim	nSeq	protocol
Region5	Region1	0.0	simulation	1	150	maxPerRegionYear_20
Region6	Region1	0.0	simulation	1	150	maxPerRegionYear_20
Region7	Region1	0.0	simulation	1	150	maxPerRegionYear_20
Region1	Region2	7.0	simulation	1	150	maxPerRegionYear_20
Region2	Region2	40.0	simulation	1	150	maxPerRegionYear_20
Region3	Region2	2.0	simulation	1	150	maxPerRegionYear_20
Region4	Region2	1.0	simulation	1	150	maxPerRegionYear_20
Region5	Region2	1.0	simulation	1	150	maxPerRegionYear_20
Region6	Region2	0.0	simulation	1	150	maxPerRegionYear_20
Region7	Region2	0.0	simulation	1	150	maxPerRegionYear_20
Region1	Region3	2.0	simulation	1	150	maxPerRegionYear_20
Region2	Region3	9.0	simulation	1	150	maxPerRegionYear_20
Region3	Region3	56.0	simulation	1	150	maxPerRegionYear_20
Region4	Region3	4.0	simulation	1	150	maxPerRegionYear_20
Region5	Region3	1.0	simulation	1	150	maxPerRegionYear_20
Region6	Region3	0.0	simulation	1	150	maxPerRegionYear_20
Region7	Region3	0.0	simulation	1	150	maxPerRegionYear_20
Region1	Region4	1.0	simulation	1	150	maxPerRegionYear_20
Region2	Region4	2.0	simulation	1	150	maxPerRegionYear_20
Region3	Region4	3.0	simulation	1	150	maxPerRegionYear_20
Region4	Region4	82.0	simulation	1	150	maxPerRegionYear_20
Region5	Region4	0.0	simulation	1	150	maxPerRegionYear_20
Region6	Region4	0.0	simulation	1	150	maxPerRegionYear_20
Region7	Region4	0.0	simulation	1	150	maxPerRegionYear_20
Region1	Region5	0.0	simulation	1	150	maxPerRegionYear_20
Region2	Region5	1.0	simulation	1	150	maxPerRegionYear_20
Region3	Region5	0.0	simulation	1	150	maxPerRegionYear_20
Region4	Region5	8.0	simulation	1	150	maxPerRegionYear_20
Region5	Region5	11.0	simulation	1	150	maxPerRegionYear_20
Region6	Region5	0.0	simulation	1	150	maxPerRegionYear_20
Region7	Region5	0.0	simulation	1	150	maxPerRegionYear_20
Region1	Region6	0.0	simulation	1	150	maxPerRegionYear_20
Region2	Region6	1.0	simulation	1	150	maxPerRegionYear_20
Region3	Region6	0.0	simulation	1	150	maxPerRegionYear_20
