parameterChar	value	parameter	nSeq	protocol	matrix	nSim
Region7_Region4	NA	migrationRate	150	maxPerRegion	migrationrates	1
Region7_Region5	NA	migrationRate	150	maxPerRegion	migrationrates	1
Region7_Region6	NA	migrationRate	150	maxPerRegion	migrationrates	1
Region1	0.16786446941187658	locationFrequency	150	maxPerRegion	migrationrates	1
Region2	0.12706671919790238	locationFrequency	150	maxPerRegion	migrationrates	1
Region3	0.28972787914192943	locationFrequency	150	maxPerRegion	migrationrates	1
Region4	0.12273289225209559	locationFrequency	150	maxPerRegion	migrationrates	1
Region5	0.25724455554498893	locationFrequency	150	maxPerRegion	migrationrates	1
Region6	0.03530914179357941	locationFrequency	150	maxPerRegion	migrationrates	1
Region7	5.434265762767128e-05	locationFrequency	150	maxPerRegion	migrationrates	1
NA	1989.468493	mrcaDate	150	maxPerRegion	migrationrates	1
NA	Region1	mrcaLocation	150	maxPerRegion	migrationrates	1
NA	22.367122999999992	treeHeight	150	maxPerRegion	migrationrates	1
Region1_Region1	12217.0	migrationCount	500	maxPerRegion	migrationrates	1
Region1_Region2	70.0	migrationCount	500	maxPerRegion	migrationrates	1
Region1_Region4	1.0	migrationCount	500	maxPerRegion	migrationrates	1
Region1_Region5	1.0	migrationCount	500	maxPerRegion	migrationrates	1
Region1_Region6	1.0	migrationCount	500	maxPerRegion	migrationrates	1
Region2_Region1	140.0	migrationCount	500	maxPerRegion	migrationrates	1
Region2_Region2	9185.0	migrationCount	500	maxPerRegion	migrationrates	1
Region2_Region3	86.0	migrationCount	500	maxPerRegion	migrationrates	1
Region2_Region4	80.0	migrationCount	500	maxPerRegion	migrationrates	1
Region2_Region5	34.0	migrationCount	500	maxPerRegion	migrationrates	1
Region2_Region6	7.0	migrationCount	500	maxPerRegion	migrationrates	1
Region3_Region2	78.0	migrationCount	500	maxPerRegion	migrationrates	1
Region3_Region3	21218.0	migrationCount	500	maxPerRegion	migrationrates	1
Region3_Region4	65.0	migrationCount	500	maxPerRegion	migrationrates	1
Region4_Region2	7.0	migrationCount	500	maxPerRegion	migrationrates	1
Region4_Region3	16.0	migrationCount	500	maxPerRegion	migrationrates	1
Region4_Region4	8871.0	migrationCount	500	maxPerRegion	migrationrates	1
Region4_Region5	48.0	migrationCount	500	maxPerRegion	migrationrates	1
Region4_Region6	1.0	migrationCount	500	maxPerRegion	migrationrates	1
Region5_Region1	1.0	migrationCount	500	maxPerRegion	migrationrates	1
Region5_Region2	13.0	migrationCount	500	maxPerRegion	migrationrates	1
Region5_Region3	6.0	migrationCount	500	maxPerRegion	migrationrates	1
Region5_Region4	74.0	migrationCount	500	maxPerRegion	migrationrates	1
Region5_Region5	18845.0	migrationCount	500	maxPerRegion	migrationrates	1
Region5_Region6	44.0	migrationCount	500	maxPerRegion	migrationrates	1
Region6_Region4	2.0	migrationCount	500	maxPerRegion	migrationrates	1
Region6_Region5	13.0	migrationCount	500	maxPerRegion	migrationrates	1
Region6_Region6	2546.0	migrationCount	500	maxPerRegion	migrationrates	1
Region6_Region7	3.0	migrationCount	500	maxPerRegion	migrationrates	1
Region7_Region7	1.0	migrationCount	500	maxPerRegion	migrationrates	1
Region1_Region3	NA	migrationCount	500	maxPerRegion	migrationrates	1
Region1_Region7	NA	migrationCount	500	maxPerRegion	migrationrates	1
Region2_Region7	NA	migrationCount	500	maxPerRegion	migrationrates	1
Region3_Region1	NA	migrationCount	500	maxPerRegion	migrationrates	1
Region3_Region5	NA	migrationCount	500	maxPerRegion	migrationrates	1
Region3_Region6	NA	migrationCount	500	maxPerRegion	migrationrates	1
Region3_Region7	NA	migrationCount	500	maxPerRegion	migrationrates	1
Region4_Region1	NA	migrationCount	500	maxPerRegion	migrationrates	1
Region4_Region7	NA	migrationCount	500	maxPerRegion	migrationrates	1
Region5_Region7	NA	migrationCount	500	maxPerRegion	migrationrates	1
Region6_Region1	NA	migrationCount	500	maxPerRegion	migrationrates	1
Region6_Region2	NA	migrationCount	500	maxPerRegion	migrationrates	1
Region6_Region3	NA	migrationCount	500	maxPerRegion	migrationrates	1
Region7_Region1	NA	migrationCount	500	maxPerRegion	migrationrates	1
Region7_Region2	NA	migrationCount	500	maxPerRegion	migrationrates	1
Region7_Region3	NA	migrationCount	500	maxPerRegion	migrationrates	1
Region7_Region4	NA	migrationCount	500	maxPerRegion	migrationrates	1
Region7_Region5	NA	migrationCount	500	maxPerRegion	migrationrates	1
Region7_Region6	NA	migrationCount	500	maxPerRegion	migrationrates	1
Region1_Region1	1.481746513038205	migrationRate	500	maxPerRegion	migrationrates	1
Region1_Region2	0.008489993935718617	migrationRate	500	maxPerRegion	migrationrates	1
Region1_Region4	0.00012128562765312311	migrationRate	500	maxPerRegion	migrationrates	1
Region1_Region5	0.00012128562765312311	migrationRate	500	maxPerRegion	migrationrates	1
Region1_Region6	0.00012128562765312311	migrationRate	500	maxPerRegion	migrationrates	1
Region2_Region1	0.016979987871437233	migrationRate	500	maxPerRegion	migrationrates	1
Region2_Region2	1.1140084899939358	migrationRate	500	maxPerRegion	migrationrates	1
Region2_Region3	0.010430563978168586	migrationRate	500	maxPerRegion	migrationrates	1
Region2_Region4	0.009702850212249849	migrationRate	500	maxPerRegion	migrationrates	1
Region2_Region5	0.004123711340206186	migrationRate	500	maxPerRegion	migrationrates	1
Region2_Region6	0.0008489993935718618	migrationRate	500	maxPerRegion	migrationrates	1
Region3_Region2	0.009460278956943602	migrationRate	500	maxPerRegion	migrationrates	1
Region3_Region3	2.5734384475439662	migrationRate	500	maxPerRegion	migrationrates	1
Region3_Region4	0.007883565797453002	migrationRate	500	maxPerRegion	migrationrates	1
Region4_Region2	0.0008489993935718618	migrationRate	500	maxPerRegion	migrationrates	1
Region4_Region3	0.0019405700424499697	migrationRate	500	maxPerRegion	migrationrates	1
