traits	patch	samp.dates	short.names
0_19139_2018.890411	1	2018.890411	0_19139
0_19138_2018.684932	1	2018.684932	0_19138
1_35996_2018.687671	2	2018.687671	1_35996
1_35995_2018.712329	2	2018.712329	1_35995
0_19131_2018.726027	1	2018.726027	0_19131
0_19129_2018.720548	1	2018.720548	0_19129
0_19126_2018.756164	1	2018.756164	0_19126
0_19125_2018.709589	1	2018.709589	0_19125
0_19124_2018.693151	1	2018.693151	0_19124
0_19123_2018.70137	1	2018.70137	0_19123
0_19122_2018.69589	1	2018.69589	0_19122
1_35986_2018.706849	2	2018.706849	1_35986
0_19117_2018.706849	1	2018.706849	0_19117
2_31212_2018.676712	3	2018.676712	2_31212
1_35984_2018.731507	2	2018.731507	1_35984
0_19114_2018.70137	1	2018.70137	0_19114
0_19112_2018.739726	1	2018.739726	0_19112
0_19111_2018.709589	1	2018.709589	0_19111
1_35979_2018.865753	2	2018.865753	1_35979
1_35973_2018.665753	2	2018.665753	1_35973
1_35972_2018.750685	2	2018.750685	1_35972
1_35969_2018.720548	2	2018.720548	1_35969
0_19104_2018.717808	1	2018.717808	0_19104
1_35964_2018.671233	2	2018.671233	1_35964
0_19097_2018.70137	1	2018.70137	0_19097
1_35960_2018.726027	2	2018.726027	1_35960
1_35959_2018.70411	2	2018.70411	1_35959
1_35958_2018.736986	2	2018.736986	1_35958
0_19095_2018.687671	1	2018.687671	0_19095
0_19094_2018.772603	1	2018.772603	0_19094
0_19093_2018.747945	1	2018.747945	0_19093
0_19089_2018.758904	1	2018.758904	0_19089
0_19088_2018.679452	1	2018.679452	0_19088
2_31207_2018.750685	3	2018.750685	2_31207
1_35955_2018.676712	2	2018.676712	1_35955
1_35954_2018.706849	2	2018.706849	1_35954
1_35953_2018.673973	2	2018.673973	1_35953
0_19085_2018.739726	1	2018.739726	0_19085
0_19084_2018.69589	1	2018.69589	0_19084
1_35948_2018.709589	2	2018.709589	1_35948
0_19076_2018.769863	1	2018.769863	0_19076
1_35945_2018.660274	2	2018.660274	1_35945
1_35942_2018.841096	2	2018.841096	1_35942
0_19072_2018.69863	1	2018.69863	0_19072
1_35940_2018.687671	2	2018.687671	1_35940
1_35938_2018.671233	2	2018.671233	1_35938
1_35937_2018.731507	2	2018.731507	1_35937
1_35936_2018.712329	2	2018.712329	1_35936
1_35935_2018.69589	2	2018.69589	1_35935
1_35934_2018.660274	2	2018.660274	1_35934
1_35932_2018.731507	2	2018.731507	1_35932
1_35928_2018.663014	2	2018.663014	1_35928
